date,time,pm25,temperature,humidity,pressure,uv,raw,weather_label
01/06/2026,00:00:00,73,25.12,82.94,1005.16,0,"PM25=73,T=25.12,H=82.94,P=1005.16,UV=0.00,TIME=00:00:00,DATE=01/06/2026",normal
01/06/2026,00:01:56,52,24.95,83.9,1005.17,0,"PM25=52,T=24.95,H=83.90,P=1005.17,UV=0.00,TIME=00:01:56,DATE=01/06/2026",normal
01/06/2026,00:03:53,68,25.23,83.72,1005.1,0,"PM25=68,T=25.23,H=83.72,P=1005.10,UV=0.00,TIME=00:03:53,DATE=01/06/2026",normal
01/06/2026,00:05:48,45,24.96,83.24,1005.01,0,"PM25=45,T=24.96,H=83.24,P=1005.01,UV=0.00,TIME=00:05:48,DATE=01/06/2026",normal
01/06/2026,00:07:53,67,24.96,83.57,1005.0,0,"PM25=67,T=24.96,H=83.57,P=1005.00,UV=0.00,TIME=00:07:53,DATE=01/06/2026",normal
01/06/2026,00:09:53,71,25.16,83.39,1005.19,0,"PM25=71,T=25.16,H=83.39,P=1005.19,UV=0.00,TIME=00:09:53,DATE=01/06/2026",normal
01/06/2026,00:11:56,70,25.13,83.4,1005.0,0,"PM25=70,T=25.13,H=83.40,P=1005.00,UV=0.00,TIME=00:11:56,DATE=01/06/2026",normal
01/06/2026,00:13:51,73,25.43,82.96,1005.09,0,"PM25=73,T=25.43,H=82.96,P=1005.09,UV=0.00,TIME=00:13:51,DATE=01/06/2026",normal
01/06/2026,00:15:48,70,25.1,83.05,1005.06,0,"PM25=70,T=25.10,H=83.05,P=1005.06,UV=0.00,TIME=00:15:48,DATE=01/06/2026",normal
01/06/2026,00:17:52,40,25.22,83.48,1004.93,0,"PM25=40,T=25.22,H=83.48,P=1004.93,UV=0.00,TIME=00:17:52,DATE=01/06/2026",normal
01/06/2026,00:19:52,61,25.11,83.47,1005.18,0,"PM25=61,T=25.11,H=83.47,P=1005.18,UV=0.00,TIME=00:19:52,DATE=01/06/2026",normal
01/06/2026,00:21:47,48,25.46,82.29,1004.9,0,"PM25=48,T=25.46,H=82.29,P=1004.90,UV=0.00,TIME=00:21:47,DATE=01/06/2026",normal
01/06/2026,00:23:44,60,25.26,84.26,1005.03,0,"PM25=60,T=25.26,H=84.26,P=1005.03,UV=0.00,TIME=00:23:44,DATE=01/06/2026",normal
01/06/2026,00:25:41,77,24.97,81.77,1005.06,0,"PM25=77,T=24.97,H=81.77,P=1005.06,UV=0.00,TIME=00:25:41,DATE=01/06/2026",normal
01/06/2026,00:27:37,62,24.93,84.08,1005.15,0,"PM25=62,T=24.93,H=84.08,P=1005.15,UV=0.00,TIME=00:27:37,DATE=01/06/2026",normal
01/06/2026,00:29:36,74,25.04,83.95,1005.16,0,"PM25=74,T=25.04,H=83.95,P=1005.16,UV=0.00,TIME=00:29:36,DATE=01/06/2026",normal
01/06/2026,00:31:38,41,24.98,81.1,1005.04,0,"PM25=41,T=24.98,H=81.10,P=1005.04,UV=0.00,TIME=00:31:38,DATE=01/06/2026",normal
01/06/2026,00:33:35,75,25.04,84.26,1004.88,0,"PM25=75,T=25.04,H=84.26,P=1004.88,UV=0.00,TIME=00:33:35,DATE=01/06/2026",normal
01/06/2026,00:35:35,38,25.6,84.88,1005.02,0,"PM25=38,T=25.60,H=84.88,P=1005.02,UV=0.00,TIME=00:35:35,DATE=01/06/2026",normal
01/06/2026,00:37:33,54,24.99,83.27,1004.75,0,"PM25=54,T=24.99,H=83.27,P=1004.75,UV=0.00,TIME=00:37:33,DATE=01/06/2026",normal
01/06/2026,00:39:35,42,25.04,84.08,1005.2,0,"PM25=42,T=25.04,H=84.08,P=1005.20,UV=0.00,TIME=00:39:35,DATE=01/06/2026",normal
01/06/2026,00:41:33,47,25.23,82.7,1005.27,0,"PM25=47,T=25.23,H=82.70,P=1005.27,UV=0.00,TIME=00:41:33,DATE=01/06/2026",normal
01/06/2026,00:43:29,51,25.52,83.58,1005.24,0,"PM25=51,T=25.52,H=83.58,P=1005.24,UV=0.00,TIME=00:43:29,DATE=01/06/2026",normal
01/06/2026,00:45:33,41,24.88,84.36,1004.97,0.01,"PM25=41,T=24.88,H=84.36,P=1004.97,UV=0.01,TIME=00:45:33,DATE=01/06/2026",normal
01/06/2026,00:47:29,55,25.43,82.05,1005.05,0,"PM25=55,T=25.43,H=82.05,P=1005.05,UV=0.00,TIME=00:47:29,DATE=01/06/2026",normal
01/06/2026,00:49:25,70,25.46,84.37,1005.24,0,"PM25=70,T=25.46,H=84.37,P=1005.24,UV=0.00,TIME=00:49:25,DATE=01/06/2026",normal
01/06/2026,00:51:28,33,25.38,82.53,1005.12,0,"PM25=33,T=25.38,H=82.53,P=1005.12,UV=0.00,TIME=00:51:28,DATE=01/06/2026",normal
01/06/2026,00:53:23,53,25.14,82.74,1005.04,0,"PM25=53,T=25.14,H=82.74,P=1005.04,UV=0.00,TIME=00:53:23,DATE=01/06/2026",normal
01/06/2026,00:55:26,54,25.43,82.98,1005.02,0,"PM25=54,T=25.43,H=82.98,P=1005.02,UV=0.00,TIME=00:55:26,DATE=01/06/2026",normal
01/06/2026,00:57:22,62,25.38,82.98,1005.02,0,"PM25=62,T=25.38,H=82.98,P=1005.02,UV=0.00,TIME=00:57:22,DATE=01/06/2026",normal
01/06/2026,00:59:27,76,25.17,81.19,1004.97,0,"PM25=76,T=25.17,H=81.19,P=1004.97,UV=0.00,TIME=00:59:27,DATE=01/06/2026",normal
01/06/2026,01:01:28,85,25.03,83.89,1005.09,0,"PM25=85,T=25.03,H=83.89,P=1005.09,UV=0.00,TIME=01:01:28,DATE=01/06/2026",normal
01/06/2026,01:03:24,37,25.2,81.8,1005.08,0,"PM25=37,T=25.20,H=81.80,P=1005.08,UV=0.00,TIME=01:03:24,DATE=01/06/2026",normal
