date,time,pm25,temperature,humidity,pressure,uv,raw,weather_label
17/04/2026,0:01:31,52,28.33,87.74,1007.98,0.0,"PM25=52,T=28.33,H=87.74,P=1007.98,UV=0.00,TIME=00:01:31,DATE=17/04/2026",normal
17/04/2026,0:03:00,52,28.21,88.17,1007.96,0.0,"PM25=52,T=28.21,H=88.17,P=1007.96,UV=0.00,TIME=00:03:00,DATE=17/04/2026",normal
17/04/2026,0:05:28,55,28.23,88.24,1007.9,0.0,"PM25=55,T=28.23,H=88.24,P=1007.90,UV=0.00,TIME=00:05:28,DATE=17/04/2026",normal
17/04/2026,0:05:57,57,28.33,87.88,1007.91,0.0,"PM25=57,T=28.33,H=87.88,P=1007.91,UV=0.00,TIME=00:05:57,DATE=17/04/2026",normal
17/04/2026,0:06:27,57,28.22,88.15,1007.9,0.0,"PM25=57,T=28.22,H=88.15,P=1007.90,UV=0.00,TIME=00:06:27,DATE=17/04/2026",normal
17/04/2026,0:07:56,55,29.04,87.98,1007.87,0.0,"PM25=55,T=29.04,H=87.98,P=1007.87,UV=0.00,TIME=00:07:56,DATE=17/04/2026",normal
17/04/2026,0:12:24,53,28.64,86.63,1007.81,0.0,"PM25=53,T=28.64,H=86.63,P=1007.81,UV=0.00,TIME=00:12:24,DATE=17/04/2026",normal
17/04/2026,0:14:24,51,28.25,88.12,1007.8,0.0,"PM25=51,T=28.25,H=88.12,P=1007.80,UV=0.00,TIME=00:14:24,DATE=17/04/2026",normal
17/04/2026,0:20:26,55,28.15,88.63,1007.68,0.0,"PM25=55,T=28.15,H=88.63,P=1007.68,UV=0.00,TIME=00:20:26,DATE=17/04/2026",normal
17/04/2026,0:22:27,50,28.37,87.95,1007.64,0.0,"PM25=50,T=28.37,H=87.95,P=1007.64,UV=0.00,TIME=00:22:27,DATE=17/04/2026",normal
17/04/2026,0:30:29,54,28.37,87.91,1007.61,0.0,"PM25=54,T=28.37,H=87.91,P=1007.61,UV=0.00,TIME=00:30:29,DATE=17/04/2026",normal
17/04/2026,0:32:29,54,28.13,88.79,1007.57,0.0,"PM25=54,T=28.13,H=88.79,P=1007.57,UV=0.00,TIME=00:32:29,DATE=17/04/2026",normal
17/04/2026,0:40:32,56,28.18,88.67,1007.38,0.0,"PM25=56,T=28.18,H=88.67,P=1007.38,UV=0.00,TIME=00:40:32,DATE=17/04/2026",normal
17/04/2026,0:44:33,59,28.14,89.03,1007.27,0.0,"PM25=59,T=28.14,H=89.03,P=1007.27,UV=0.00,TIME=00:44:33,DATE=17/04/2026",normal
17/04/2026,0:46:33,58,28.13,88.84,1007.2,0.0,"PM25=58,T=28.13,H=88.84,P=1007.20,UV=0.00,TIME=00:46:33,DATE=17/04/2026",normal
17/04/2026,0:52:35,51,27.68,90.59,1007.2,0.0,"PM25=51,T=27.68,H=90.59,P=1007.20,UV=0.00,TIME=00:52:35,DATE=17/04/2026",normal
17/04/2026,1:00:37,57,27.87,89.91,1007.21,0.0,"PM25=57,T=27.87,H=89.91,P=1007.21,UV=0.00,TIME=01:00:37,DATE=17/04/2026",normal
17/04/2026,1:12:41,52,28.06,89.38,1007.11,0.0,"PM25=52,T=28.06,H=89.38,P=1007.11,UV=0.00,TIME=01:12:41,DATE=17/04/2026",normal
17/04/2026,1:22:44,53,27.91,89.83,1007.13,0.0,"PM25=53,T=27.91,H=89.83,P=1007.13,UV=0.00,TIME=01:22:44,DATE=17/04/2026",normal
17/04/2026,1:24:44,52,28.06,89.33,1007.16,0.0,"PM25=52,T=28.06,H=89.33,P=1007.16,UV=0.00,TIME=01:24:44,DATE=17/04/2026",normal
17/04/2026,1:26:45,53,28.1,89.17,1007.16,0.0,"PM25=53,T=28.10,H=89.17,P=1007.16,UV=0.00,TIME=01:26:45,DATE=17/04/2026",normal
17/04/2026,1:34:47,52,28.1,89.14,1007.15,0.0,"PM25=52,T=28.10,H=89.14,P=1007.15,UV=0.00,TIME=01:34:47,DATE=17/04/2026",normal
17/04/2026,1:38:48,52,27.94,89.62,1007.1,0.0,"PM25=52,T=27.94,H=89.62,P=1007.10,UV=0.00,TIME=01:38:48,DATE=17/04/2026",normal
17/04/2026,1:40:49,52,27.87,89.9,1007.09,0.0,"PM25=52,T=27.87,H=89.90,P=1007.09,UV=0.00,TIME=01:40:49,DATE=17/04/2026",normal
